char,loc,dens
^,11,23
p,6,17378
(,2,46
v,11,789
n,18,42
q,25,1
8,9,42206
x,4,11784
d,4,44422
o,10,12079
i,2,132868
[,1,112
u,10,5856
V,7,948
t,11,4478
y,11,2833
f,9,4123
h,26,1
0,28,1
(,11,20
.,4,1499
_,4,982
@,11,324
K,3,1852
F,20,2
n,27,3
q,16,22
8,18,41
d,13,878
o,13,2257
&,1,66
i,9,24032
[,8,16
|,13,4
L,25,2
?,25,2
t,20,21
y,18,13
f,6,15003
O,6,2060
0,21,14
;,5,45
g,22,5
f,16,38
(,12,12
.,13,282
_,15,7
|,7,7
@,12,193
K,10,113
l,15,254
w,15,68
8,27,4
C,17,3
2,7,104266
o,20,46
=,23,11
x,1,20220
V,4,1363
+,7,355
e,17,134
>,6,25
Q,28,1
y,25,2
0,13,4298
D,1,5927
O,9,533
I,5,2664
;,12,18
P,9,204
j,16,24
g,9,11863
p,21,7
v,22,5
<,12,9
T,8,1127
@,5,1192
z,11,1045
l,8,26331
w,6,14054
q,14,65
/,2,113
u,3,40623
-,15,22
4,3,45445
?,11,75
9,3,50017
+,14,17
e,24,11
W,11,64
Q,19,1
?,22,1
D,10,229
O,16,6
0,7,114614
j,9,3534
6,8,58722
a,12,5197
h,12,1378
E,21,1
.,19,29
1,24,9
l,1,68662
q,5,7023
$,5,246
/,5,191
),1,29
N,9,760
G,21,1
Y,15,6
4,12,5666
9,10,26159
+,9,240
L,12,74
W,2,1462
Q,10,90
e,8,51904
l,7,35788
j,14,107
6,1,38710
a,3,101620
.,24,9
N,21,1
z,25,1
w,16,27
$,14,14
/,12,55
),8,145
J,21,2
U,5,1676
G,12,74
A,8,2202
m,21,33
V,19,2
4,21,11
9,17,58
Z,12,32
L,5,2557
W,5,1401
Q,1,1978
},14,6
*,24,1
j,7,9995
u,23,6
a,26,6
E,27,1
7,14,1372
1,22,13
#,16,1
),15,6
J,10,70
U,12,54
G,7,1365
A,15,24
6,24,4
m,12,1242
%,16,6
9,24,7
Z,5,1254
S,8,1394
b,15,151
c,1,71659
P,17,2
p,25,3
r,22,17
3,21,8
B,2,1943
C,10,144
R,13,48
S,3,3172
u,24,3
k,19,9
X,2,1414
c,24,8
X,16,8
k,27,1
R,14,32
#,15,2
2,8,94279
c,16,79
^,7,94
p,10,2676
3,4,68730
_,17,1
P,4,1608
n,14,1400
d,16,94
i,22,11
x,24,4
h,1,47221
H,4,1918
t,7,32099
H,24,1
k,2,16869
#,6,41
B,22,1
2,17,85
^,12,12
p,3,33153
{,11,2
v,12,405
n,23,2
8,6,79983
C,20,2
>,27,1
o,1,16766
i,29,1
[,4,28
r,19,33
h,6,29110
!,18,2
T,1,6011
N,7,2313
R,6,2497
Y,5,1802
~,5,27
`,10,27
m,15,262
S,9,481
9,27,1
M,15,2
Z,6,1142
W,19,1
m,19,38
*,18,2
5,4,67976
s,22,7
6,16,240
a,20,38
:,13,5
7,4,66227
],13,5
T,19,1
L,6,2072
t,23,5
J,4,1352
A,25,2
b,20,9
m,6,29141
`,4,25
*,11,238
5,3,54331
!,14,83
F,1,4417
e,2,123441
s,17,80
f,5,17111
:,2,25
1,7,140234
],4,38
A,16,12
%,1,88
Z,20,2
r,4,52102
5,10,23551
!,5,591
h,18,16
s,8,32217
7,22,4
3,18,48
],3,22
S,21,2
A,23,2
b,2,22520
m,28,3
%,8,152
c,10,4952
h,22,4
2,5,107389
c,23,6
x,5,11421
p,23,2
{,7,9
3,11,14126
B,12,55
n,3,114984
d,21,10
i,17,86
x,21,2
~,10,23
H,1,5155
k,25,2
#,13,5
2,10,34017
^,1,45
p,8,10012
{,14,3
3,2,70696
K,18,3
n,8,45876
8,3,65351
X,1,1797
i,24,7
v,17,9
H,10,138
f,17,15
t,5,46773
y,1,25183
#,4,25
0,9,58651
2,19,22
^,14,1
p,1,55073
{,9,3
p,17,11
v,14,89
n,17,120
8,4,69880
C,18,1
d,7,25553
o,7,47637
P,20,1
[,2,28
-,19,2
?,19,1
M,23,1
t,14,586
`,3,17
k,11,2211
f,12,633
V,17,1
D,18,4
I,20,3
2,24,3
-,6,967
k,20,8
-,1,264
h,23,5
M,5,1908
c,29,1
M,6,1617
r,26,1
3,17,69
h,4,37523
n,5,72154
C,6,1698
4,25,1
x,19,2
~,12,18
N,19,1
X,6,1248
c,20,31
p,22,4
{,4,4
(,18,1
3,8,70747
h,13,634
n,2,31550
f,3,21982
C,1,6876
d,20,18
i,18,51
x,20,5
M,22,1
N,6,2759
y,2,24918
k,1,48390
m,26,6
f,22,5
2,18,46
^,9,74
h,9,9489
K,26,2
u,12,1484
n,16,222
T,12,60
8,11,13332
d,6,29325
o,4,69424
P,11,59
[,3,30
@,1,942
<,7,42
?,16,12
`,13,9
N,15,29
`,2,21
k,8,15671
f,15,164
D,17,3
I,21,1
2,27,1
g,25,3
f,18,15
(,5,63
v,6,10785
_,6,1123
K,5,1782
=,11,29
l,24,6
n,25,5
8,12,7106
d,15,300
o,15,380
P,12,33
[,10,11
V,13,21
I,18,4
?,27,1
|,1,13
`,1,81
y,16,68
R,18,4
f,4,19834
D,26,1
0,23,6
;,7,75
j,25,1
g,16,137
(,14,5
.,3,1000
_,9,395
@,14,74
K,12,39
l,17,59
w,9,4029
q,21,1
),17,1
8,21,9
>,10,21
o,22,23
i,14,1000
V,10,76
?,2,56
e,23,13
y,23,1
B,26,1
D,3,2660
O,11,157
I,3,2287
;,14,6
g,11,4519
v,20,2
T,10,200
Y,12,71
&,10,42
z,9,4332
F,8,763
q,12,292
&,17,1
o,25,5
V,3,1711
4,5,53728
?,5,81
9,1,39930
t,24,3
Q,17,3
#,14,4
D,12,73
O,18,2
I,10,353
;,9,38
j,23,1
6,14,1499
g,2,13017
a,10,19627
.,17,43
Y,19,1
z,14,153
l,3,73325
q,3,9116
$,7,369
/,7,232
X,11,57
x,7,9068
V,24,2
4,14,1445
?,12,52
9,8,68759
+,11,87
e,5,106390
W,12,40
Q,8,625
0,3,108403
O,21,4
;,16,2
<,6,31
P,15,7
j,12,402
6,7,59377
g,5,30500
a,1,81972
E,18,3
L,18,3
@,17,6
z,7,10499
w,18,6
P,6,1486
/,14,24
),6,102
J,19,1
G,14,32
m,27,8
|,19,1
-,9,372
4,23,1
9,15,701
M,13,35
Z,10,102
L,7,1749
W,7,1091
Q,15,6
},12,4
j,5,15250
u,21,9
a,24,8
%,21,1
7,8,55652
1,20,32
w,21,1
$,9,284
/,17,4
),13,13
t,9,14233
J,8,632
U,2,2754
G,1,4700
A,13,111
>,4,13
m,18,67
4,16,279
`,6,30
Z,3,1347
e,11,10928
Q,6,1058
},11,3
e,10,21240
F,7,1074
s,29,1
6,21,8
7,3,48429
1,11,22326
e,15,752
z,21,3
J,1,5190
U,9,250
A,4,3899
b,17,18
m,9,8872
I,25,1
9,29,1
X,29,1
W,17,3
},2,3
*,20,1
5,6,74192
!,9,1286
s,20,18
6,18,39
a,22,16
:,15,1
1,2,84935
],15,4
J,6,1251
U,16,6
A,27,3
6,26,2
b,22,2
%,4,166
A,18,2
Z,17,1
H,6,1738
b,7,15376
-,7,815
%,11,40
B,19,1
s,9,18243
c,9,9244
r,14,841
h,24,4
R,5,2537
E,13,91
k,4,38736
L,10,243
l,14,534
^,2,43
p,13,233
{,13,2
3,1,49670
=,9,78
n,21,13
C,22,1
>,25,1
o,3,60657
P,16,4
[,6,28
0,27,1
H,15,11
X,22,1
t,2,23995
y,4,26546
k,15,388
R,16,3
#,3,20
D,22,5
I,16,8
2,20,24
